verbo|traducao_italiano|esempio|nivel
ankommen|arrivare|Wann kommt der Zug an?|A1
antworten|rispondere|Bitte antworten Sie schnell.|A1
arbeiten|lavorare|Ich arbeite von Montag bis Freitag.|A1
aufmachen|aprire|Kannst du bitte das Fenster aufmachen?|A1
aufstehen|alzarsi|Ich stehe jeden Morgen um 7 Uhr auf.|A1
ausfüllen|compilare|Bitte füllen Sie das Formular aus.|A1
aussehen|sembrare, avere l'aspetto di|Sie sieht müde aus.|A1
aussprechen|pronunciare|Wie spricht man dieses Wort aus?|A1
aussteigen|scendere (da un veicolo)|Wir müssen hier aussteigen.|A1
bezahlen|pagare|Ich möchte jetzt bezahlen.|A1
brauchen|avere bisogno di|Ich brauche Hilfe.|A1
bringen|portare|Kannst du mir einen Kaffee bringen?|A1
buchstabieren|sillabare|Können Sie das bitte buchstabieren?|A1
duschen|fare la doccia|Ich dusche jeden Morgen.|A1
einkaufen|fare la spesa|Ich gehe heute einkaufen.|A1
einladen|invitare|Ich lade dich zum Abendessen ein.|A1
einschlafen|addormentarsi|Ich bin spät eingeschlafen.|A1
einsteigen|salire (su un veicolo)|Bitte einsteigen!|A1
essen|mangiare|Was möchten Sie essen?|A1
fahren|guidare, andare (con veicolo)|Ich fahre mit dem Auto zur Arbeit.|A1
fernsehen|guardare la TV|Am Abend sehe ich gern fern.|A1
finden|trovare|Ich finde den Schlüssel nicht.|A1
fliegen|volare|Wir fliegen nach Spanien.|A1
fotografieren|fotografare|Er fotografiert gern Landschaften.|A1
fragen|chiedere|Ich möchte dich etwas fragen.|A1
frühstücken|fare colazione|Ich frühstücke um 8 Uhr.|A1
geben|dare|Kannst du mir bitte das Buch geben?|A1
gehen|andare|Wir gehen ins Kino.|A1
haben|avere|Ich habe ein neues Auto.|A1
halten|tenere, fermare, mantenere|Halten Sie hier bitte an.|A1
heißen|chiamarsi|Wie heißen Sie?|A1
heizen|riscaldare|Im Winter müssen wir die Wohnung heizen.|A1
holen|prendere, andare a prendere|Ich muss die Kinder aus der Schule holen.|A1
hören|sentire, ascoltare|Hörst du die Musik?|A1
kaufen|comprare|Was möchtest du kaufen?|A1
kochen|cucinare|Ich koche heute Abend Suppe.|A1
kommen|venire|Woher kommen Sie?|A1
können|potere, sapere (fare qualcosa)|Kannst du mir helfen?|A1
kosten|costare|Wie viel kostet das?|A1
krank|malato (usato con sein)|Ich bin krank.|A1
küssen|baciare|Er küsst seine Freundin.|A1
lachen|ridere|Sie lachen über den Witz.|A1
laufen|correre, camminare|Die Kinder laufen im Garten.|A1
leben|vivere|Ich lebe in Deutschland.|A1
legen|mettere (sdraiato)|Lege das Buch auf den Tisch.|A1
lesen|leggere|Ich lese gern Bücher.|A1
lieben|amare|Ich liebe dich.|A1
liegen|essere (sdraiato)|Das Buch liegt auf dem Tisch.|A1
lösen|risolvere|Kannst du die Aufgabe lösen?|A1
machen|fare|Was machst du heute Abend?|A1
markieren|segnare|Bitte markieren Sie die richtige Antwort.|A1
müssen|dovere|Ich muss jetzt gehen.|A1
nehmen|prendere|Nehmen Sie Platz.|A1
notieren|annotare|Bitte notieren Sie die Adresse.|A1
organisieren|organizzare|Wir müssen eine Party organisieren.|A1
packen|fare le valigie, imballare|Ich muss meine Koffer packen.|A1
parken|parcheggiare|Hier dürfen Sie nicht parken.|A1
passen|andare bene, stare (vestiti)|Die Hose passt mir nicht mehr.|A1
planen|pianificare|Wir planen unseren Urlaub.|A1
probieren|provare, assaggiare|Möchtest du den Kuchen probieren?|A1
putzen|pulire, spazzolare|Ich putze meine Zähne jeden Morgen.|A1
radieren|cancellare (con la gomma)|Ich habe einen Fehler gemacht und muss radieren.|A1
rauchen|fumare|Rauchen ist hier verboten.|A1
rasieren|radere|Er rasiert sich jeden Morgen.|A1
regnen|piovere|Es regnet heute den ganzen Tag.|A1
reparieren|riparare|Kannst du mein Fahrrad reparieren?|A1
reservieren|prenotare|Ich möchte einen Tisch reservieren.|A1
rühren|mescolare|Bitte rühren Sie den Zucker in den Kaffee.|A1
rufen|chiamare, gridare|Ich rufe dich später an.|A1
sagen|dire|Was hast du gesagt?|A1
sammeln|collezionare, raccogliere|Ich sammle Briefmarken.|A1
schauen|guardare|Schau mal! Ein Vogel!|A1
schenken|regalare|Ich schenke dir ein Buch.|A1
schießen|sparare|Er schießt auf das Tor.|A1
schlafen|dormire|Ich schlafe sieben Stunden pro Nacht.|A1
schließen|chiudere|Bitte schließen Sie die Tür.|A1
schmecken|avere sapore, assaggiare|Der Kuchen schmeckt gut.|A1
schneiden|tagliare|Kannst du das Brot schneiden?|A1
schneien|nevicare|Es schneit im Winter oft.|A1
schreiben|scrivere|Ich schreibe einen Brief.|A1
schwimmen|nuotare|Ich schwimme gern im See.|A1
sehen|vedere|Ich sehe dich.|A1
sein|essere|Ich bin müde.|A1
senden|inviare, trasmettere|Wir senden Ihnen eine E-Mail.|A1
sitzen|sedere, essere seduto|Er sitzt auf dem Stuhl.|A1
singen|cantare|Sie singt sehr schön.|A1
spazieren|passeggiare|Wir gehen gern spazieren.|A1
spielen|giocare, suonare|Die Kinder spielen im Garten.|A1
spülen|lavare (i piatti)|Ich muss noch das Geschirr spülen.|A1
starten|iniziare, partire|Der Flug startet um 10 Uhr.|A1
stehen|stare (in piedi)|Die Tasse steht auf dem Tisch.|A1
stoppen|fermare|Bitte stoppen Sie das Auto hier.|A1
studieren|studiare (all'università)|Sie studiert Medizin an der Universität.|A1
tanzen|ballare|Möchtest du tanzen gehen?|A1
telefonieren|telefonare|Ich muss telefonieren.|A1
tragen|portare, indossare|Sie trägt einen roten Pullover.|A1
treiben|praticare (sport)|Er treibt viel Sport.|A1
trinken|bere|Was möchten Sie trinken?|A1
verstehen|capire|Ich verstehe das nicht.|A1
vorstellen|presentare, immaginare|Darf ich mich vorstellen?|A1
abfliegen|decollare, partire (aereo)|Das Flugzeug ist pünktlich abgeflogen.|A2
abmelden|cancellare l'iscrizione, disconnettersi|Ich muss mich vom Kurs abmelden.|A2
abtrocknen|asciugare (con asciugamano)|Bitte trockne das Geschirr ab.|A2
anziehen|vestire|Zieh dir eine Jacke an, es ist kalt.|A2
anzünden|accendere|Kannst du bitte die Kerze anzünden?|A2
aufwachen|svegliarsi|Ich bin um 6 Uhr aufgewacht.|A2
baden|fare il bagno, bagnarsi|Ich bade gerne im Meer.|A2
backen|cuocere al forno|Sie backt einen Kuchen für die Party.|A2
basteln|fare lavoretti manuali|Die Kinder basteln ein Geschenk.|A2
beantworten|rispondere a|Bitte beantworten Sie die Frage.|A2
beeilen (sich)|sbrigarsi|Wir müssen uns beeilen!|A2
bekommen|ricevere, ottenere|Ich habe einen Brief bekommen.|A2
benutzen|usare, utilizzare|Darf ich dein Handy benutzen?|A2
berichten|riferire|Er berichtet über die Neuigkeiten.|A2
bitten|chiedere, pregare|Ich bitte dich um Hilfe.|A2
bleiben|restare, rimanere|Bleibst du heute zu Hause?|A2
braten|friggere, arrostire|Ich brate Hähnchen in der Pfanne.|A2
bügeln|stirare|Ich muss noch meine Hemden bügeln.|A2
danken|ringraziare|Ich danke dir für deine Hilfe.|A2
einfügen|inserire|Fügen Sie den Text hier ein.|A2
einzahlen|depositare (denaro)|Ich möchte Geld auf mein Konto einzahlen.|A2
erinnern (sich)|ricordarsi|Ich kann mich nicht daran erinnern.|A2
erholen (sich)|riposarsi, riprendersi|Ich muss mich von der Arbeit erholen.|A2
erklären|spiegare|Können Sie das bitte erklären?|A2
erwarten|aspettare|Ich erwarte einen Anruf.|A2
falsch|sbagliato (usato con sein)|Das ist falsch.|A2
faxen|inviare via fax|Ich muss das Dokument faxen.|A2
feiern|festeggiare|Wir feiern heute meinen Geburtstag.|A2
fühlen (sich)|sentirsi|Wie fühlen Sie sich heute?|A2
gefallen|piacere|Die neue Wohnung gefällt mir sehr gut.|A2
gehören|appartenere|Wem gehört dieses Buch?|A2
grillen|grigliare|Wir grillen heute Abend im Garten.|A2
hängen|appendere, essere appeso|Das Bild hängt an der Wand.|A2
heiraten|sposarsi|Sie heiraten nächsten Sommer.|A2
helfen|aiutare|Kann ich Ihnen helfen?|A2
husten|tossire|Er hustet die ganze Nacht.|A2
interessieren (sich)|interessarsi a|Ich interessiere mich für Sprachen.|A2
joggen|fare jogging|Ich jogge jeden Morgen im Park.|A2
kämmen|pettinare|Sie kämmt sich die Haare.|A2
kennen|conoscere|Ich kenne diesen Mann nicht.|A2
kennenlernen|conoscere (per la prima volta)|Ich möchte neue Leute kennenlernen.|A2
klicken|cliccare|Klicken Sie hier, um das Dokument zu öffnen.|A2
klingeln|suonare (campanello, telefono)|Es klingelt an der Tür.|A2
klopfen|bussare|Jemand klopft an die Tür.|A2
kopieren|copiare|Kannst du dieses Dokument kopieren?|A2
korrigieren|correggere|Der Lehrer korrigiert die Fehler.|A2
kostenlos|gratuito (usato come aggettivo)|Das Parken ist kostenlos.|A2
kriegen|ottenere, prendere (colloquiale)|Wo kriege ich Fahrkarten?|A2
kühl|fresco, freddo (usato con sein)|Es ist heute kühl.|A2
lassen|lasciare, permettere|Lass mich in Ruhe!|A2
leihen|prestare, prendere in prestito|Kannst du mir dein Buch leihen?|A2
löschen|cancellare, spegnere|Löschen Sie die Datei.|A2
mailen (e-mailen)|inviare per e-mail|Ich maile dir die Informationen.|A2
meinen|pensare, voler dire|Was meinst du dazu?|A2
merken|notare, ricordare|Merk dir das Datum.|A2
mieten|affittare|Wir wollen eine Wohnung mieten.|A2
mischen|mescolare, mischiare|Mischen Sie die Zutaten gut.|A2
mitbringen|portare (con sé)|Bringst du etwas zu essen mit?|A2
mögen|piacere (cose/persone)|Ich mag Schokolade.|A2
operieren|operare|Der Arzt muss ihn operieren.|A2
ordnen|ordinare, sistemare|Bitte ordne die Bücher im Regal.|A2
passieren|succedere|Was ist passiert?|A2
reagieren|reagire|Wie hat er reagiert?|A2
rennen|correre|Die Kinder rennen auf dem Spielplatz.|A2
saugen|aspirare (polvere)|Ich muss heute noch staubsaugen.|A2
setzen (sich)|sedersi|Setz dich bitte auf den Stuhl.|A2
speichern|salvare, memorizzare|Vergiss nicht, die Datei zu speichern.|A2
springen|saltare|Die Kinder springen auf dem Trampolin.|A2
stecken|infilare, mettere|Steck den Schlüssel in die Tasche.|A2
stellen|mettere (in piedi)|Stell die Flasche auf den Tisch.|A2
stressen|stressare|Die Arbeit stresst mich sehr.|A2
suchen (nach D)|cercare|Ich suche nach meinem Handy.|A2
teilnehmen an D|partecipare a|Möchten Sie am Kurs teilnehmen?|A2
testen|testare|Wir müssen das neue Programm testen.|A2
trennen (sich)|separarsi|Sie haben sich getrennt.|A2
trocknen|asciugare|Die Wäsche trocknet schnell in der Sonne.|A2
träumen von D|sognare di|Ich träume von einem Urlaub.|A2
treffen|incontrare|Wir treffen uns um 8 Uhr.|A2
treten|calpestare, calciare|Er tritt die Tür auf.|A2
umtauschen|cambiare (denaro, merce)|Ich möchte Euro in Dollar umtauschen.|A2
umziehen|traslocare, cambiarsi (vestiti)|Wir sind letztes Jahr umgezogen.|A2
vergessen|dimenticare|Ich habe meinen Schlüssel vergessen.|A2
verheiraten|essere sposato (con sein)|Sie ist verheiratet.|A2
verändern|cambiare, modificare|Das Leben verändert sich schnell.|A2
verkaufen|vendere|Ich möchte mein altes Auto verkaufen.|A2
verliebt sein in A|essere innamorato di|Er ist in sie verliebt.|A2
verloben (sich)|fidanzarsi|Sie haben sich verlobt.|A2
verlieren|perdere|Ich habe meinen Schlüssel verloren.|A2
verpassen|perdere (opportunità, trasporto)|Ich habe den Bus verpasst.|A2
versprechen|promettere|Ich verspreche es dir.|A2
versuchen|tentare, provare|Ich werde es versuchen.|A2
ablegen|sostenere (esame)|Er muss eine Prüfung ablegen.|B1
ablehnen|rifiutare, respingere|Sie hat mein Angebot abgelehnt.|B1
abschalten|spegnere, rilassarsi|Ich muss nach der Arbeit abschalten.|B1
abschließen|chiudere a chiave, concludere|Vergiss nicht, die Tür abzuschließen.|B1
absagen|annullare|Wir müssen den Termin absagen.|B1
absolvieren|concludere, completare|Sie hat ihr Studium erfolgreich absolviert.|B1
abstimmen|votare, coordinare|Wir müssen über den Vorschlag abstimmen.|B1
abteilen|dividere, separare|Man kann den Raum abteilen.|B1
abwarten|aspettare|Wir müssen die Ergebnisse abwarten.|B1
agieren|agire, recitare|Der Schauspieler agiert sehr überzeugend.|B1
ändern|cambiare, modificare|Sie sollten Ihre Meinung ändern.|B1
anerkennen|riconoscere, accettare|Man muss seine Fehler anerkennen.|B1
anfangen|iniziare, cominciare|Der Film fängt um 20 Uhr an.|B1
anhaben|indossare|Sie hat ein schönes Kleid an.|B1
anhalten|fermare (veicolo), trattenere|Der Bus hält an der nächsten Haltestelle.|B1
annehmen|accettare, supporre|Ich nehme an, du hast Hunger.|B1
anprobieren|provare (vestiti)|Möchten Sie diese Hose anprobieren?|B1
anstellen|accendere (apparecchio), mettersi in fila|Bitte stell den Fernseher an.|B1
anstreben|aspirare a|Sie strebt eine Karriere als Ärztin an.|B1
aufgeben|rinunciare, spedire|Ich gebe nicht auf!|B1
aufheben|conservare, alzare, annullare|Heb bitte den Stift auf.|B1
auflegen|riagganciare (telefono), mettere|Er hat einfach aufgelegt.|B1
aufnehmen|registrare, accogliere, assorbire|Wir nehmen ein Lied auf.|B1
ausbilden|formare, addestrare|Die Firma bildet neue Mitarbeiter aus.|B1
auspacken|disimballare|Ich muss noch meine Koffer auspacken.|B1
ausreichen|essere sufficiente|Das Geld reicht nicht aus.|B1
ausverkaufen|esaurire (vendita)|Das Konzert ist ausverkauft.|B1
beachten|osservare, prestare attenzione a|Bitte beachten Sie die Regeln.|B1
bearbeiten|elaborare, modificare|Ich muss diesen Text bearbeiten.|B1
bedrohen|minacciare|Der Klimawandel bedroht unsere Zukunft.|B1
beeinflussen|influenzare|Man sollte sich nicht so leicht beeinflussen lassen.|B1
befördern|promuovere, trasportare|Er wurde befördert.|B1
begründen|giustificare, fondare|Können Sie Ihre Meinung begründen?|B1
beginnen mit D|iniziare con|Wir beginnen mit dem Unterricht.|B1
beleidigen|offendere|Er hat mich beleidigt.|B1
bemerken|notare, accorgersi|Ich habe seinen Fehler bemerkt.|B1
beraten|consigliare|Der Experte berät uns.|B1
berufen|nominare, invocare|Er wurde in den Vorstand berufen.|B1
berühren|toccare|Man darf die Kunstwerke nicht berühren.|B1
beschäftigen (sich mit D)|occuparsi di|Ich beschäftige mich mit Sport.|B1
beschließen|decidere, stabilire|Wir haben beschlossen, umzuziehen.|B1
bestehen aus D|consistere in, essere composto da|Das Team besteht aus fünf Personen.|B1
bestimmen|determinare, definire|Du bestimmst, was wir machen.|B1
beten|pregare|Sie betet jeden Abend.|B1
betreuen|prendersi cura di, supervisionare|Sie betreut alte Menschen.|B1
bewegen (sich)|muoversi, fare esercizio|Man sollte sich regelmäßig bewegen.|B1
bewirken|causare, provocare|Seine Worte haben viel bewirkt.|B1
bieten|offrire|Das Restaurant bietet viele Gerichte.|B1
bilden|formare, costruire|Der Schnee bildet eine dicke Schicht.|B1
blocken|bloccare|Der Torwart konnte den Ball blocken.|B1
blühen|fiorire|Die Blumen blühen im Frühling.|B1
brechen|rompere|Er hat sich das Bein gebrochen.|B1
brennen|bruciare, ardere|Das Feuer brennt.|B1
bürsten|spazzolare|Sie bürstet ihr Haar.|B1
dämpfen|smorzare, cuocere al vapore|Das Gemüse wird gedämpft.|B1
dauern|durare|Wie lange dauert der Flug?|B1
dienen|servire|Dieses Werkzeug dient zum Öffnen von Flaschen.|B1
drehen|girare, voltare|Dreh dich bitte um.|B1
drücken|premere, spingere|Drück den Knopf.|B1
duzen|dare del tu|Wir duzen uns hier in der Firma.|B1
durchfallen durch A|bocciare, fallire|Er ist durch die Prüfung gefallen.|B1
durchsagen|annunciare|Die Ankunftszeit wurde durchgesagt.|B1
ehelichen|sposare (formale)|Er ehelichte seine Jugendliebe.|B1
eilen|affrettarsi|Ich muss eilen, sonst komme ich zu spät.|B1
einfallen|venire in mente|Mir ist eine gute Idee eingefallen.|B1
einfrieren|congelare|Man kann Brot einfrieren.|B1
einführen|introdurre, importare|Dieses neue Produkt wird im Herbst eingeführt.|B1
einpacken|imballare, incartare|Ich muss noch meine Geschenke einpacken.|B1
einreichen|presentare, consegnare|Bitte reichen Sie die Unterlagen bis Freitag ein.|B1
einrichten|arredare, organizzare, installare|Wir richten gerade unsere neue Wohnung ein.|B1
einschreiben|iscriversi, registrare|Sie möchte sich für den Kurs einschreiben.|B1
einschenken|versare (bevanda)|Soll ich dir noch einen Wein einschenken?|B1
einstellen|assumere, regolare, smettere|Die Firma stellt neue Mitarbeiter ein.|B1
eintreten in A|entrare in (organizzazione, partito)|Er ist in den Verein eingetreten.|B1
einwandern|immigrare|Viele Menschen wandern nach Deutschland ein.|B1
einwerfen|imbucare (lettera), inserire (moneta)|Bitte werfen Sie den Brief in den Briefkasten ein.|B1
ermöglichen|rendere possibile|Technologie ermöglicht uns vieles.|B1
ernähren (sich)|nutrirsi|Man sollte sich gesund ernähren.|B1
erreichen|raggiungere, ottenere|Ich konnte ihn telefonisch nicht erreichen.|B1
erschweren|rendere difficile|Der Regen erschwert die Fahrt.|B1
erziehen|educare|Sie erzieht ihre Kinder liebevoll.|B1
erzielen|ottenere (risultato, obiettivo)|Er hat ein gutes Ergebnis erzielt.|B1
exisitieren|esistere|Viele alte Traditionen existieren noch.|B1
fällen|abbattere (albero), emettere (sentenza)|Der Förster muss Bäume fällen.|B1
fangen|prendere, catturare|Der Hund fängt den Ball.|B1
fassen|afferrare, comprendere|Ich kann es nicht fassen!|B1
festlegen|fissare, determinare|Wir müssen den Termin festlegen.|B1
festnehmen|arrestare|Die Polizei hat den Dieb festgenommen.|B1
feststellen|constatare, verificare|Er stellte fest, dass die Tür offen war.|B1
filmen|filmare|Sie filmen eine Dokumentation.|B1
fischen|pescare|Wir fischen im Fluss.|B1
fließen|fluire, scorrere|Das Wasser fließt schnell.|B1
folgen|seguire|Folgen Sie mir bitte!|B1
fördern|promuovere, sostenere, estrarre|Die Regierung fördert kleine Unternehmen.|B1
fordern|esigere, rivendicare|Die Arbeiter fordern höhere Löhne.|B1
frittieren|friggere (in olio)|Pommes frites werden frittiert.|B1
füllen|riempire|Bitte füllen Sie das Glas mit Wasser.|B1
garen|cuocere (fino al punto giusto)|Das Fleisch muss noch garen.|B1
gebrauchen|usare, utilizzare|Man kann dieses alte Gerät noch gebrauchen.|B1
geschehen|accadere, succedere|Was ist geschehen?|B1
gewöhnen (sich an A)|abituarsi a|Ich muss mich an das neue Wetter gewöhnen.|B1
gießen|innaffiare, versare, fondere|Bitte gieß die Blumen.|B1
gründen|fondare, stabilire|Sie haben ein neues Unternehmen gegründet.|B1
halbieren (sich)|dimezzarsi|Die Zahl der Teilnehmer hat sich halbiert.|B1
handeln|agire, negoziare, trattare|Man muss schnell handeln.|B1
heben|sollevare|Er hebt das Paket hoch.|B1
herausfordern|sfidare|Diese Aufgabe fordert mich heraus.|B1
herstellen|produrre, fabbricare|Diese Firma stellt Autos her.|B1
hinlegen|sdraiarsi|Ich muss mich kurz hinlegen.|B1
hinsetzen|sedersi|Setz dich bitte hierhin.|B1
hungern|patire la fame|Viele Menschen hungern in dieser Region.|B1
informieren (sich bei D über A)|informarsi con (qualcuno) su (qualcosa)|Ich muss mich bei ihm über den Kurs informieren.|B1
installieren|installare|Wir müssen die neue Software installieren.|B1
internationalisieren|internazionalizzare|Das Unternehmen möchte seine Produkte internationalisieren.|B1
isolieren (sich von D)|isolarsi da|Manchmal möchte ich mich von allen isolieren.|B1
kämpfen|lottare, combattere|Sie kämpfen für ihre Rechte.|B1
kürzen|accorciare, ridurre|Man muss den Text kürzen.|B1
kündigen|licenziare, rescindere, disdire|Er hat seine Wohnung gekündigt.|B1
