verbo|traducao_italiano|esempio|nivel
lecken an D|leccare|Der Hund leckt an seiner Pfote.|B1
leiden an A / unter D|soffrire di (malattia) / soffrire per (situazione)|Sie leidet an einer Erkältung.|B1
leisten|realizzare, permettersi|Er leistet gute Arbeit.|B1
leiten|dirigere, guidare, condurre|Sie leitet ein großes Team.|B1
lehren|insegnare|Er lehrt Englisch an der Universität.|B1
loben|lodare|Die Lehrerin lobt die Schüler.|B1
lohnen (sich)|valere la pena|Es lohnt sich, früh aufzustehen.|B1
lügen|mentire|Du sollst nicht lügen.|B1
managen|gestire|Sie managt ein internationales Projekt.|B1
melden|segnalare, riferire, registrare|Bitte melden Sie sich am Empfang.|B1
mobilisieren|mobilitare|Die neue Kampagne soll die Wähler mobilisieren.|B1
modernisieren|modernizzare|Die alte Küche wird modernisiert.|B1
möblieren|arredare|Die Wohnung ist komplett möbliert.|B1
nachdenken über A|pensare a, riflettere su|Ich muss über dein Angebot nachdenken.|B1
nachfüllen|riempire di nuovo, ricaricare|Kannst du bitte den Drucker nachfüllen?|B1
nutzen|usare, sfruttare|Nutzen Sie die Gelegenheit!|B1
öffnen|aprire|Das Geschäft öffnet um 9 Uhr.|B1
pfeifen|fischiare|Er pfeift ein Lied.|B1
pflanzen|piantare|Wir pflanzen Bäume im Garten.|B1
pflücken|cogliere (fiori, frutta)|Die Kinder pflücken Blumen.|B1
philosophieren|filosofare|Sie sitzen oft zusammen und philosophieren über das Leben.|B1
prämieren|premiare|Der beste Film wurde prämiert.|B1
rechnen|calcolare, contare|Kannst du schnell rechnen?|B1
reduzieren|ridurre|Wir müssen den Müll reduzieren.|B1
reinigen|pulire, purificare|Die Kleidung muss gereinigt werden.|B1
reklamieren|reclamare|Ich möchte diese Ware reklamieren.|B1
retten|salvare|Die Feuerwehr konnte das Kind retten.|B1
riskieren|rischiare|Er riskiert alles für seinen Traum.|B1
rollen|rotolare|Der Ball rollt den Hügel hinunter.|B1
salzen|salare|Bitte salzen Sie das Essen.|B1
schaffen|riuscire, creare, farcela|Ich schaffe das!|B1
schätzen|stimare, apprezzare|Ich schätze deine Hilfe sehr.|B1
scheinen|brillare, sembrare|Die Sonne scheint heute.|B1
schieben|spingere, far scorrere|Schieb den Stuhl näher heran.|B1
schlimm|brutto, grave (usato con sein)|Das ist nicht so schlimm.|B1
abdrängen|spingere fuori, forzare|Das Auto wurde von der Straße abgedrängt.|B2
abfahren|partire (veicolo)|Der Zug ist pünktlich abgefahren.|B2
abheben|prelevare (denaro), decollare|Ich möchte Geld vom Konto abheben.|B2
abhören|intercettare, origliare|Der Geheimdienst hat seine Telefongespräche abgehört.|B2
ablösen von D|sostituire, staccarsi da|Der neue Chef löst den alten ab.|B2
abschleppen|rimuovere (veicolo), rimorchiare|Mein Auto wurde abgeschleppt.|B2
abschneiden|tagliare, ottenere (risultato)|Er hat bei der Prüfung gut abgeschnitten.|B2
absichern|garantire, proteggere|Man muss die Baustelle absichern.|B2
anfahren|investire (con veicolo), avviarsi|Der Busfahrer hat eine Person angefahren.|B2
angeben|indicare, informare, vantarsi|Bitte geben Sie Ihre Daten an.|B2
anführen|guidare, citare|Er führte die Gruppe an.|B2
ankurbeln|stimolare, incentivare|Die Wirtschaft muss angekurbelt werden.|B2
anschnallen|allacciare (cintura di sicurezza)|Bitte schnallen Sie sich an.|B2
anstauen|accumulare, arginare|Das Wasser wird angestaut.|B2
anweisen|istruire, designare|Er wurde angewiesen, die Arbeit zu erledigen.|B2
ausbauen|espandere, migliorare, smontare|Wir wollen unser Geschäft ausbauen.|B2
ausfallen|essere annullato, cadere (capelli), mancare|Der Unterricht ist heute ausgefallen.|B2
ausstatten mit D|equipaggiare con|Das Zimmer ist mit modernen Möbeln ausgestattet.|B2
aussterben|estinguersi|Viele Tierarten sterben aus.|B2
ausstoßen|emettere, espellere|Fabriken stoßen viel CO2 aus.|B2
ausweiten (sich)|espandersi, allargarsi|Der Konflikt könnte sich ausweiten.|B2
beanspruchen|rivendicare, esigere, sovraccaricare|Die Arbeit beansprucht viel Zeit.|B2
befahren|percorrere, navigare|Dieses Gebiet darf nicht befahren werden.|B2
befürchten|temere|Ich befürchte das Schlimmste.|B2
begreifen|comprendere, capire|Ich begreife das Problem nicht.|B2
bekennen (sich)|confessare, dichiararsi|Er hat sich zu seiner Schuld bekannt.|B2
belasten|gravare, caricare, inquinare|Der Verkehr belastet die Umwelt.|B2
belästigen|infastidire, molestare|Er hat sie belästigt.|B2
benötigen|necessitare, aver bisogno di|Wir benötigen mehr Informationen.|B2
benoten|dare un voto, classificare|Der Lehrer benotet die Schüler.|B2
bergen|nascondere, contenere, salvare|Die Truhe birgt einen Schatz.|B2
besetzen|occupare, riempire (posto)|Die Stelle ist bereits besetzt.|B2
beseitigen|eliminare, rimuovere|Man muss das Problem beseitigen.|B2
bestätigen|confermare, comprovare|Bitte bestätigen Sie den Empfang der E-Mail.|B2
betätigen (sich)|attivarsi, esercitare (attività)|Er betätigt sich politisch.|B2
betreiben|gestire, praticare, esercitare|Er betreibt ein kleines Geschäft.|B2
betten|mettere a letto, sistemare|Sie bettete das Baby sanft in sein Bett.|B2
bewahren|preservare, conservare|Man muss die Natur bewahren.|B2
bewerten|valutare, giudicare|Der Professor bewertet die Arbeiten.|B2
bewilligen|concedere, autorizzare|Der Antrag wurde bewilligt.|B2
binden|legare, unire|Er bindet seine Schuhe.|B2
blasen|soffiare|Der Wind bläst stark.|B2
blitzen|lampeggiare, fare un flash (radar)|Es blitzt am Himmel.|B2
blockieren|bloccare|Die Straße ist blockiert.|B2
brauen|produrre (birra), preparare (tempesta)|Er braut sein eigenes Bier.|B2
cremen|applicare crema|Sie cremt sich jeden Morgen ein.|B2
decken|coprire, apparecchiare|Sie deckt den Tisch für das Abendessen.|B2
durchführen|realizzare, eseguire|Wir werden eine Umfrage durchführen.|B2
durchlaufen|attraversare correndo, percorrere|Er hat eine harte Schule durchlaufen.|B2
eingehen auf A|accettare, rispondere a|Er geht auf ihre Wünsche ein.|B2
eingreifen in A|intervenire in|Die Regierung muss eingreifen.|B2
einschätzen|stimare, valutare|Ich kann die Situation nicht einschätzen.|B2
einschulen|iscrivere (bambino) a scuola|Die Kinder werden im Herbst eingeschult.|B2
einwirken auf A|influenzare, agire su|Das Medikament wirkt auf den Körper ein.|B2
enden|finire, terminare|Die Vorstellung endet um 22 Uhr.|B2
entbehren|mancare di, essere privo di|Die Geschichte entbehrt jeder Logik.|B2
entgegenwirken|contrastare, combattere|Man muss den Problemen entgegenwirken.|B2
entwerten|convalidare, svalutare|Bitte entwerten Sie Ihre Fahrkarte.|B2
erfordern|richiedere, esigere|Diese Aufgabe erfordert viel Geduld.|B2
ergeben|risultare, produrre, arrendersi|Das Experiment ergab interessante Ergebnisse.|B2
ergreifen|afferrare, prendere (misure)|Die Regierung ergriff Maßnahmen gegen die Krise.|B2
erhalten|mantenere, ricevere, ottenere|Ich habe eine E-Mail erhalten.|B2
erlassen|promulgare (legge), perdonare|Das Parlament hat ein neues Gesetz erlassen.|B2
erneuern|rinnovare|Wir müssen die alte Heizung erneuern.|B2
erwerben|acquisire, ottenere|Er hat sich neue Sprachkenntnisse erworben.|B2
erwirtschaften|generare (profitto), produrre|Das Unternehmen erwirtschaftete einen hohen Gewinn.|B2
erzeugen|produrre, generare|Dieses Kraftwerk erzeugt Strom.|B2
färben|tingere, colorare|Sie lässt sich die Haare färben.|B2
fetten|ingrassare, lubrificare|Man muss die Kette fetten.|B2
festhalten|tenere stretto, registrare|Halten Sie sich gut fest!|B2
filtern|filtrare|Das Wasser muss gefiltert werden.|B2
florieren|fiorire, prosperare|Das Geschäft floriert gut.|B2
formen|modellare, formare|Der Künstler formt eine Skulptur aus Ton.|B2
fortbilden (sich)|perfezionarsi, fare formazione continua|Er bildet sich ständig fort.|B2
fortschreiten|progredire, avanzare|Die Forschung schreitet schnell fort.|B2
fressen|mangiare (per animali), divorare|Der Hund frisst sein Futter.|B2
führen|condurre, guidare|Sie führt das Unternehmen erfolgreich.|B2
funken|emettere scintille, trasmettere via radio|Der Funke funkelt im Dunkeln.|B2
fußen auf D|basarsi su|Seine Theorie fußt auf vielen Experimenten.|B2
füttern|nutrire, dare da mangiare|Wir müssen die Tiere füttern.|B2
gebären|partorire|Sie hat ein gesundes Kind geboren.|B2
gebieten|ordinare, esigere|Die Situation gebietet schnelles Handeln.|B2
gebühren|spettare, essere dovuto|Es gebührt ihm Respekt.|B2
gelingen|riuscire, avere successo|Das Experiment ist gelungen.|B2
genehmigen|approvare, autorizzare|Der Antrag wurde genehmigt.|B2
geraten|finire in, trovarsi in (situazione)|Er ist in Schwierigkeiten geraten.|B2
gestalten|dare forma, creare, organizzare|Wir gestalten unsere Zukunft selbst.|B2
gewährleisten|garantire|Der Staat muss die Sicherheit gewährleisten.|B2
gewinnen|vincere, ottenere|Wir müssen das Spiel gewinnen.|B2
grasen|pascolare|Die Kühe grasen auf der Wiese.|B2
greifen zu D|ricorrere a, usare|Er greift zu drastischen Maßnahmen.|B2
großziehen|allevare (figli), educare|Sie hat ihre Kinder allein großgezogen.|B2
haushalten|gestire il bilancio, risparmiare|Man muss gut haushalten, um Geld zu sparen.|B2
hauen|colpire, battere|Er hat mit dem Hammer auf den Nagel gehauen.|B2
heilen|guarire, curare|Der Arzt konnte die Wunde heilen.|B2
hervorrufen|provocare, causare|Das Ereignis rief große Freude hervor.|B2
knien|inginocchiarsi|Er kniete nieder, um zu beten.|B2
kompostieren|compostare|Wir kompostieren unsere Bioabfälle.|B2
konsumieren|consumare|Die Bevölkerung konsumiert viel Zucker.|B2
ketten|incatenare|Der Hund ist angekettet.|B2
kleiden|vestire, adattarsi (vestiti)|Diese Farbe kleidet dich gut.|B2
klatschen|applaudire, spettegolare|Das Publikum klatschte laut.|B2
lärmen|fare rumore|Die Kinder lärmen im Garten.|B2
legalisieren|legalizzare|Die Regierung will das Gesetz legalisieren.|B2
liefern|consegnare, fornire|Die Firma liefert die Waren am Dienstag.|B2
listen|elencare, enumerare|Bitte listen Sie alle Punkte auf.|B2
münzen auf A|mirare a, alludere a|Die Bemerkung war auf mich gemünzt.|B2
nachgehen|investigare, seguire (un'attività)|Die Polizei geht einem Hinweis nach.|B2
nachweisen|dimostrare, provare|Er konnte seine Unschuld nachweisen.|B2
niederlegen|deporre, rinunciare, stendere|Der Präsident hat sein Amt niedergelegt.|B2
obliegen|spettare a, essere responsabilità di|Diese Aufgabe obliegt dem Teamleiter.|B2
pflegen|prendersi cura di, coltivare|Sie pflegt ihre Großmutter.|B2
pilgern|pellegrinare|Viele Menschen pilgern nach Santiago de Compostela.|B2
platzen|scoppiare, esplodere|Der Ballon ist geplatzt.|B2
preisen|lodare, elogiare|Er preist die Vorzüge des neuen Produkts.|B2
pressen|pressare, spremere|Sie presst den Saft aus den Orangen.|B2
qualifizieren (sich für A)|qualificarsi per|Sie hat sich für die Weltmeisterschaft qualifiziert.|B2
rasen|correre ad alta velocità, infuriarsi|Das Auto rast über die Autobahn.|B2
rauschen|mormorare (acqua, vento), fruscire|Der Wind rauscht in den Bäumen.|B2
regen (sich)|muoversi, agitarsi|Es regt sich etwas im Gebüsch.|B2
ringen|lottare, spremere|Er ringt um Fassung.|B2
ruhen|riposare|Er ruht sich nach der Arbeit aus.|B2
salben|ungere, applicare pomata|Der Apotheker salbt die Wunde.|B2
schädigen|danneggiare, nuocere|Rauchen schädigt die Gesundheit.|B2
schalten|cambiare (marcia), accendere/spegnere|Bitte schalten Sie den Motor ein.|B2
schlucken|ingoiare|Er schluckt die Tablette.|B2
schmecken nach D|avere sapore di|Der Kuchen schmeckt nach Zitrone.|A2
schminken|truccarsi|Sie schminkt sich jeden Morgen.|B1
schütteln|scuotere, tremare|Er schüttelt den Kopf.|B1
schütten|versare, rovesciare|Sie schüttet Wasser in den Eimer.|B2
schwitzen|sudare|Ich schwitze, weil es so heiß ist.|B1
segeln|navigare a vela|Wir segeln auf dem See.|A2
senken|abbassare, diminuire|Man muss die Kosten senken.|B1
sinken|affondare, diminuire|Die Temperaturen sind gesunken.|B1
spaßen|scherzare|Er spaßt gerne mit seinen Freunden.|B2
spannen|tendere, tirare|Spann den Bogen!|B2
speisen|pranzare (formale), cenare|Wir speisen heute Abend im Restaurant.|B2
spendieren|offrire, pagare|Er spendiert uns einen Kaffee.|B2
sperren|bloccare, chiudere, vietare l'accesso|Die Straße ist gesperrt.|B1
spitzen|appuntire (matita), affilare|Er spitzt seinen Bleistift.|B2
spritzen|iniettare, spruzzare|Der Arzt spritzt ihm ein Medikament.|B1
stammen aus D|provenire da, originare da|Er stammt aus einer alten Familie.|B2
stauen|arginare, accumulare|Der Verkehr staut sich auf der Autobahn.|B2
stechen|pungere, trafiggere|Die Biene hat mich gestochen.|B1
stehlen|rubare|Jemand hat mein Fahrrad gestohlen.|A2
steigern|aumentare, intensificare|Man muss die Produktion steigern.|A2
stocken|fermarsi, esitare, ristagnare|Der Verkehr stockt auf der Autobahn.|B2
stoßen|spingere, collidere, urtare|Er hat sich am Kopf gestoßen.|B2
stranden|arenarsi, naufragare, restare bloccato|Das Schiff ist gestrandet.|B2
streben nach D|aspirare a, sforzarsi per|Er strebt nach Perfektion.|B2
strecken|allungare|Streck deine Arme nach oben.|B1
stürzen|cadere (improvvisamente), rovesciare|Er ist die Treppe hinuntergestürzt.|B2
tasten|premere, palpare, tastare|Sie tastete nach dem Lichtschalter.|B2
tauchen|immergersi|Ich tauche gerne im Meer.|B1
teilen|dividere, condividere|Wir teilen uns ein Zimmer.|B1
ticken|ticchettare, funzionare (colloquiale)|Die Uhr tickt laut.|B2
töten|uccidere|Der Jäger tötet das Tier.|B1
trainieren|allenarsi|Ich trainiere dreimal pro Woche.|A2
transportieren|trasportare|Die Waren werden mit dem LKW transportiert.|B1
tropfen|gocciolare|Wasser tropft aus dem Wasserhahn.|B1
tun|fare, mettere|Was tust du gerade?|A2
überarbeiten|revisionare, rielaborare|Ich muss meine Präsentation überarbeiten.|B2
überholen|sorpassare|Das Auto hat den LKW überholt.|A2
überlassen|lasciare (a qualcuno), cedere|Ich überlasse dir die Entscheidung.|B2
übernehmen|assumere, prendere in carico|Er hat die Leitung des Projekts übernommen.|B1
übertragen|trasmettere, trasferire, tradurre|Das Spiel wird live übertragen.|B2
überzeugen|convincere|Er konnte sie von seiner Idee überzeugen.|B1
umfassen|comprendere, includere|Der Bericht umfasst alle wichtigen Punkte.|B2
umgehen mit D|trattare con, gestire|Sie kann gut mit Stress umgehen.|B2
umwandeln|trasformare, convertire|Man kann Sonnenenergie in Strom umwandeln.|B2
unternehmen|intraprendere, fare (un'attività)|Wir wollen etwas zusammen unternehmen.|B1
unterrichten|insegnare|Sie unterrichtet Deutsch an der Schule.|B1
unterstreichen|sottolineare, enfatizzare|Bitte unterstreichen Sie die wichtigen Wörter.|B1
unterstützen|sostenere, supportare|Ich unterstütze dich bei deinem Vorhaben.|B1
verabreden (sich mit D)|fissare un appuntamento con|Ich habe mich mit einem Freund verabredet.|B1
veranlassen|provocare, ordinare (di fare qualcosa)|Was hat diese Reaktion veranlasst?|B2
verbinden|connettere, unire, collegare (telefono)|Ich verbinde Sie mit der Zentrale.|B2
verbieten|proibire|Rauchen ist hier verboten.|B1
verbrennen|bruciare, incenerire|Das Holz verbrennt im Ofen.|B1
verbessern|migliorare|Sie möchte ihre Deutschkenntnisse verbessern.|A2
verderben|rovinare, guastare|Die Hitze hat das Essen verdorben.|B2
verdoppeln (sich)|raddoppiare|Die Zahl der Anmeldungen hat sich verdoppelt.|B1
verfahren|procedere, agire, perdersi (per strada)|Wie sollen wir jetzt verfahren?|B2
vergiften|avvelenare|Die Chemikalien haben das Wasser vergiftet.|B2
vergrößern (sich)|ingrandire, aumentare|Das Unternehmen will sich vergrößern.|B1
verhandeln|negoziare|Wir müssen über den Preis verhandeln.|B2
verkleinern (sich)|rimpicciolire, ridurre|Die Gruppe hat sich verkleinert.|B1
verlangsamen|rallentare, ritardare|Man muss den Prozess verlangsamen.|B2
verlängern|prolungare, estendere|Ich möchte meinen Mietvertrag verlängern.|B1
vermieten|affittare (a qualcuno)|Sie vermietet eine Wohnung.|A2
vermitteln|mediare, trasmettere|Er vermittelt zwischen den Parteien.|B2
verpflegen|nutrire, fornire cibo|Die Gäste wurden gut verpflegt.|B2
verringern (sich)|diminuire, ridurre|Der Lärm hat sich verringert.|B1
verrichten|eseguire, svolgere (lavoro)|Er verrichtet seine Arbeit gewissenhaft.|B2
verseuchen|contaminare, infestare|Das Gebiet wurde verseucht.|B2
versichern|assicurare, garantire|Ich versichere Ihnen, dass alles in Ordnung ist.|B2
versorgen (mit D)|fornire, rifornire con|Wir versorgen die Stadt mit Strom.|B2
verwalten|amministrare, gestire|Sie verwaltet das Büro.|B2
verwandeln|trasformare|Der Frosch verwandelte sich in einen Prinzen.|B2
vermeiden|evitare|Man sollte Fehler vermeiden.|B2
verzeichnen|registrare, annotare|Das Unternehmen verzeichnete hohe Gewinne.|B2
verzichten auf A|rinunciare a|Ich verzichte auf Zucker in meinem Kaffee.|B1
vollziehen|eseguire, realizzare (formale)|Der Richter vollzieht das Urteil.|B2
voraussetzen|presupporre, richiedere come prerequisito|Das Studium setzt gute Englischkenntnisse voraus.|B2
vorschreiben|prescrivere, stabilire|Der Arzt hat mir Ruhe verschrieben.|B2
vorsorgen|prevenire, prendere precauzioni|Man sollte für das Alter vorsorgen.|B2
wagen|osare, azzardarsi|Er wagte einen Sprung ins kalte Wasser.|B2
wandeln|trasformare, cambiare|Die Landschaft wandelt sich im Herbst.|B2
warten auf A|aspettare|Ich warte auf dich.|A2
wecken|svegliare (qualcuno)|Kannst du mich morgen früh wecken?|A2
weinen|piangere|Das Baby weint.|A2
weisen|indicare, puntare|Er weist auf das Schild.|B2
werben|fare pubblicità, reclutare|Die Firma wirbt für ihre Produkte.|B1
werken|lavorare, fare lavori manuali|Er werkt gerne in seiner Werkstatt.|B2
werten|valutare, valorizzare|Der Coach wertet die Leistung der Spieler.|B2
wetten|scommettere|Ich wette, dass es regnen wird.|B2
winken|salutare con la mano|Sie winkt mir zum Abschied.|B1
wischen|pulire (con panno), strofinare|Wisch bitte den Tisch ab.|B2
wissen|sapere|Ich weiß die Antwort nicht.|A1
wünschen (sich)|desiderare, volere|Ich wünsche mir ein neues Buch.|A2
zählen|contare|Die Kinder zählen ihre Spielsachen.|A2
zielen|mirare, avere come obiettivo|Er zielt auf die Zielscheibe.|B2
ziehen|tirare, trasferirsi, trascinare|Zieh die Tür zu!|B1
zubereiten|preparare (cibo)|Sie bereitet ein leckeres Essen zu.|B1
zuhören|ascoltare (con attenzione)|Bitte hör mir zu!|A2
zumachen|chiudere|Kannst du bitte das Fenster zumachen?|A1
zurechtkommen|cavarsela, farcela|Ich komme mit der Situation zurecht.|B2
zusammenbrechen|crollare, collassare|Das alte Gebäude ist zusammengebrochen.|B2
zusammenfassen|riassumere|Fassen Sie die wichtigsten Punkte zusammen.|B1
zusammenhängen mit D|essere collegato con|Das Problem hängt mit dem Wetter zusammen.|B2
zusammenleben mit D|convivere con|Sie leben seit Jahren zusammen.|B1
zusammenstoßen mit D|scontrarsi con|Das Auto ist mit einem Baum zusammengestoßen.|B1
zustellen|consegnare (corrispondenza)|Der Postbote stellt die Briefe zu.|B2
zuzahlen|compartecipare, pagare una parte|Patienten müssen einen Teil der Kosten zuzahlen.|B2
